time,price_ref,mid,bid,ask,inventory,cash,equity,reason
2025-08-23 14:14:00,114923.26,114931.805,114931.795,114931.81499999999,0.0,0.0,0.0,lob_quote
2025-08-23 14:15:00,114860.82,114892.035,114931.795,114931.81499999999,0.0,-13.7918166,-13.7918166,lob_quote
2025-08-23 14:16:00,114931.26,114896.035,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:17:00,114950.0,114940.625,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:18:00,114969.99,114959.995,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:19:00,114979.99,114970.0,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:20:00,114961.42,114941.45999999999,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:21:00,114990.71,114990.455,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:22:00,115033.0,115002.63,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:23:00,115036.64,115050.20999999999,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:24:00,115031.14,115028.65,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:25:00,114985.82,115008.475,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:26:00,114989.71,114989.755,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:27:00,114989.7,114963.16,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:28:00,115047.93,115018.82,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:29:00,115031.48,115033.95000000001,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:30:00,114999.46,115015.47,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:31:00,115070.17,115034.82,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:32:00,115081.58,115073.045,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:33:00,115048.81,115065.195,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:34:00,115007.9,115028.35,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:35:00,114972.28,114968.605,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:36:00,114934.27,114966.5,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:37:00,114906.85,114920.56,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:38:00,114840.47,114873.66,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:39:00,114810.0,114825.23999999999,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:40:00,114742.0,114779.61,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:41:00,114747.23,114741.735,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:42:00,114727.56,114744.375,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:43:00,114730.17,114727.98999999999,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:44:00,114737.51,114738.91,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:45:00,114700.01,114718.755,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:46:00,114690.01,114695.005,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:47:00,114708.95,114670.58,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:48:00,114700.0,114720.0,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:49:00,114735.4,114714.57999999999,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:50:00,114734.02,114712.88500000001,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:51:00,114785.99,114754.29000000001,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:52:00,114759.8,114789.89499999999,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:53:00,114750.0,114749.29000000001,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:54:00,114720.87,114735.435,,,0.0,-13.7918166,-13.7918166,risk_block
2025-08-23 14:55:00,114720.0,114720.44,,,0.0,-13.7918166,-13.7918166,risk_block
