price_ref,mid,bid,ask,inventory,cash,equity,reason
115089.99,115089.995,,,0.0,0.0,0.0,risk_block
115089.99,115089.995,,,0.0,0.0,0.0,risk_block
115090.0,115089.995,,,0.0,0.0,0.0,risk_block
115090.0,115089.995,,,0.0,0.0,0.0,risk_block
115090.0,115089.995,,,0.0,0.0,0.0,risk_block
115078.0,115084.0,,,0.0,0.0,0.0,risk_block
115078.0,115078.005,,,0.0,0.0,0.0,risk_block
115087.86,115082.93,,,0.0,0.0,0.0,risk_block
115087.85,115087.85500000001,,,0.0,0.0,0.0,risk_block
115087.86,115087.85500000001,,,0.0,0.0,0.0,risk_block
115087.85,115087.85500000001,,,0.0,0.0,0.0,risk_block
115089.99,115088.925,,,0.0,0.0,0.0,risk_block
115090.0,115089.995,,,0.0,0.0,0.0,risk_block
115078.36,115084.175,,,0.0,0.0,0.0,risk_block
115078.35,115078.35500000001,,,0.0,0.0,0.0,risk_block
115119.52,115098.935,,,0.0,0.0,0.0,risk_block
115131.46,115125.485,,,0.0,0.0,0.0,risk_block
115131.46,115131.455,,,0.0,0.0,0.0,risk_block
115161.27,115146.36,,,0.0,0.0,0.0,risk_block
115161.27,115161.265,,,0.0,0.0,0.0,risk_block
115151.47,115156.365,,,0.0,0.0,0.0,risk_block
115136.01,115143.735,,,0.0,0.0,0.0,risk_block
115133.91,115134.95999999999,,,0.0,0.0,0.0,risk_block
115121.03,115127.475,,,0.0,0.0,0.0,risk_block
115133.91,115127.475,,,0.0,0.0,0.0,risk_block
115133.91,115133.91500000001,,,0.0,0.0,0.0,risk_block
115133.91,115133.91500000001,,,0.0,0.0,0.0,risk_block
115133.91,115133.91500000001,,,0.0,0.0,0.0,risk_block
115133.91,115133.91500000001,,,0.0,0.0,0.0,risk_block
115166.39,115150.155,,,0.0,0.0,0.0,risk_block
115142.14,115154.26999999999,,,0.0,0.0,0.0,risk_block
115131.06,115136.605,,,0.0,0.0,0.0,risk_block
115150.71,115140.89,,,0.0,0.0,0.0,risk_block
115150.72,115150.715,,,0.0,0.0,0.0,risk_block
115150.71,115150.715,,,0.0,0.0,0.0,risk_block
115131.07,115140.89,,,0.0,0.0,0.0,risk_block
115113.21,115122.14000000001,,,0.0,0.0,0.0,risk_block
115108.23,115110.725,,,0.0,0.0,0.0,risk_block
115108.24,115108.235,,,0.0,0.0,0.0,risk_block
115143.49,115125.87,,,0.0,0.0,0.0,risk_block
115143.5,115143.495,,,0.0,0.0,0.0,risk_block
115143.49,115143.495,,,0.0,0.0,0.0,risk_block
115114.52,115129.005,,,0.0,0.0,0.0,risk_block
115133.88,115124.195,,,0.0,0.0,0.0,risk_block
115139.41,115143.15,,,0.0,0.0,0.0,risk_block
115131.08,115135.25,,,0.0,0.0,0.0,risk_block
115127.64,115129.36499999999,,,0.0,0.0,0.0,risk_block
115169.0,115148.32,,,0.0,0.0,0.0,risk_block
115176.3,115172.645,,,0.0,0.0,0.0,risk_block
115176.29,115176.295,,,0.0,0.0,0.0,risk_block
115176.3,115176.295,,,0.0,0.0,0.0,risk_block
115176.29,115176.295,,,0.0,0.0,0.0,risk_block
115187.48,115181.885,,,0.0,0.0,0.0,risk_block
115190.99,115189.235,,,0.0,0.0,0.0,risk_block
115200.0,115195.495,,,0.0,0.0,0.0,risk_block
115200.0,115199.995,,,0.0,0.0,0.0,risk_block
115199.99,115199.995,,,0.0,0.0,0.0,risk_block
115200.0,115199.995,,,0.0,0.0,0.0,risk_block
115226.3,115213.15,,,0.0,0.0,0.0,risk_block
